offered load,throughput
0.1,0.0911776780944
1.1,0.385215702624
1.2,0.378940450879
1.3,0.36971124691
1.4,0.360308470934
1.5,0.34652380774
1.6,0.332870133002
1.7,0.317863286248
1.8,0.302172819093
1.9,0.284665335899
2.0,0.269739547772
0.2,0.166230947762
2.1,0.251722163856
2.2,0.234656022954
2.3,0.218732892624
2.4,0.202742104102
2.5,0.188057645861
2.6,0.17254436209
2.7,0.158798086393
2.8,0.146721876771
2.9,0.132913134826
3.0,0.12127389146
0.3,0.227517078091
3.1,0.110234560091
3.2,0.100633210653
3.3,0.0914123141692
3.4,0.0810050080638
3.5,0.0729084544795
3.6,0.0649947587777
3.7,0.0580106616587
3.8,0.0515242952367
3.9,0.0455955032512
4.0,0.0413169322717
0.4,0.275630906979
4.1,0.0352179542512
4.2,0.0312648193145
4.3,0.0275163393065
4.4,0.024527265939
4.5,0.0211540711014
4.6,0.0184949126335
4.7,0.0154855680163
4.8,0.013810643505
4.9,0.0124236980327
5.0,0.0108702159077
0.5,0.314099735711
5.1,0.00905440797318
5.2,0.00723106076382
5.3,0.00640824842979
5.4,0.00538386352959
5.5,0.00426656952356
5.6,0.00425584407574
5.7,0.00310596242014
5.8,0.00248577070508
5.9,0.00222273455466
6.0,0.00269242095521
0.6,0.342593068742
6.1,0.00156326630701
6.2,0.0013092741285
6.3,0.0013659301605
6.4,0.00115243515952
6.5,0.000842261963058
6.6,0.00084038618061
6.7,0.000684173458094
6.8,0.000727010830423
6.9,0.000298401815393
7.0,0.000218260673651
0.7,0.363600768549
7.1,0.000256975822858
7.2,0.000195577060984
7.3,0.000418788159316
7.4,0.000384971312234
7.5,0.000202885482417
7.6,0.000289916992188
7.7,0.000271176985597
7.8,0.000148391127773
7.9,0.000237885672146
8.0,0.000287822701216
0.8,0.377487536862
8.1,0.000121918509668
8.2,0.000173463403352
8.3,8.33277781481e-06
8.4,0.000252001310407
8.5,5.97973723326e-05
8.6,0.000172339508832
8.7,7.89155253143e-05
8.8,0.000115009643116
8.9,7.14075317094e-05
9.0,9.90616163254e-05
0.9,0.38438790909
9.1,0.000275082983367
9.2,3.70312080506e-05
9.3,1.86893181202e-05
9.4,4.71653617583e-05
9.5,0.000114259597806
9.6,2.88450444214e-05
9.7,2.91239515377e-05
9.8,1.96064975933e-05
9.9,2.97014999257e-05
10.0,0.0
1.0,0.386830522005
